NO_MUNICIPIO_RESIDENCIA;UF_RESIDENCIA;NO_MUNICIPIO_ESC;UF_ESC;IDADE;ST_CONCLUSAO;TP_ESCOLA;Q003;Q004;Q031;Q034;Q040;Q042;Q043;Q044;Q045;Q046;Q076
ASSIS BRASIL;AC;;;21;1;;B;3;A;A;17;5;5;5;5;5;
RIO BRANCO;AC;;;16;3;;F;4;A;A;;;;;;;
RIO BRANCO;AC;;;21;1;;D;3;A;A;16;5;5;5;5;5;
RIO BRANCO;AC;;;41;1;;C;4;A;A;18;5;5;5;5;5;
RIO BRANCO;AC;;;16;3;;B;4;A;A;;;;;;;
RIO BRANCO;AC;;;36;4;;B;3;E;E;17;5;5;5;5;5;
RIO BRANCO;AC;;;24;4;;C;5;A;E;22;5;5;5;5;5;
RIO BRANCO;AC;;;19;1;;C;4;A;A;15;5;3;5;5;3;
RIO BRANCO;AC;;;32;1;;C;9;A;A;18;5;5;5;5;5;
RIO BRANCO;AC;RIO BRANCO;AC;17;2;1;B;3;A;A;;;;;;;
RIO BRANCO;AC;;;15;3;;F;5;A;A;;;;;;;
BRASILEIA;AC;;;20;1;;B;3;B;A;18;4;3;5;5;5;
CAPIXABA;AC;;;30;1;;C;3;A;B;25;5;5;5;5;5;
RIO BRANCO;AC;;;29;1;;N;8;A;A;19;4;4;5;5;5;
RIO BRANCO;AC;;;19;1;;B;5;A;A;16;5;5;5;5;5;
PLACIDO DE CASTRO;AC;;;19;1;;B;3;A;A;18;5;2;5;5;5;
RIO BRANCO;AC;RIO BRANCO;AC;34;2;2;C;4;A;A;20;0;5;5;5;5;
RIO BRANCO;AC;;;29;1;;B;2;B;A;19;4;5;5;4;5;
BRASILEIA;AC;;;20;1;;B;3;A;A;16;0;0;5;5;0;
RIO BRANCO;AC;;;16;3;;B;6;A;A;15;5;0;5;5;5;
RIO BRANCO;AC;;;32;4;;B;5;A;E;16;5;5;5;5;5;
RIO BRANCO;AC;;;25;1;;E;4;A;A;18;5;5;5;5;5;
RIO BRANCO;AC;;;26;1;;H;3;A;A;;;;;;;
CRUZEIRO DO SUL;AC;;;24;1;;B;2;A;A;;;;;;;
RIO BRANCO;AC;;;27;1;;L;5;A;A;21;2;0;5;5;5;
CRUZEIRO DO SUL;AC;;;23;1;;B;5;A;A;21;5;5;5;4;5;
CRUZEIRO DO SUL;AC;;;18;1;;B;4;A;A;;;;;;;
SENADOR GUIOMARD;AC;;;30;1;;B;4;A;A;19;0;5;5;2;0;
RIO BRANCO;AC;;;27;1;;G;4;A;A;18;3;5;5;3;5;
RIO BRANCO;AC;;;45;1;;I;5;A;E;17;5;5;0;0;0;
RIO BRANCO;AC;;;25;1;;C;3;C;A;17;5;5;5;5;5;
RIO BRANCO;AC;;;39;3;;B;6;E;E;13;5;5;5;5;0;
BRASILEIA;AC;;;18;1;;C;2;A;A;16;2;0;3;5;0;
MANCIO LIMA;AC;MANCIO LIMA;AC;18;2;1;B;3;A;A;;;;;;;
RIO BRANCO;AC;;;16;3;;A;7;A;A;;;;;;;
RIO BRANCO;AC;;;22;1;;C;2;A;A;17;3;5;1;3;3;
CRUZEIRO DO SUL;AC;;;27;1;;C;5;A;A;24;3;5;5;5;3;
RIO BRANCO;AC;RIO BRANCO;AC;19;2;1;B;4;A;A;;;;;;;
RIO BRANCO;AC;;;22;1;;C;2;A;A;20;2;0;5;5;5;
EPITACIOLANDIA;AC;BRASILEIA;AC;18;2;1;B;5;A;A;14;5;5;5;5;5;
RIO BRANCO;AC;;;30;1;;E;6;A;A;18;5;3;5;5;5;
PLACIDO DE CASTRO;AC;;;32;1;;C;5;A;B;25;0;5;5;5;5;
CRUZEIRO DO SUL;AC;;;21;1;;C;4;A;A;18;2;0;5;5;5;
CAPIXABA;AC;;;19;1;;B;6;A;A;16;3;0;5;5;2;
RIO BRANCO;AC;;;34;1;;G;2;A;A;19;2;5;5;4;3;
RODRIGUES ALVES;AC;RODRIGUES ALVES;AC;20;2;1;B;3;A;A;;;;;;;
CRUZEIRO DO SUL;AC;;;17;3;;D;5;A;A;16;5;0;1;5;0;
RIO BRANCO;AC;;;29;1;;D;4;A;A;24;5;5;5;5;0;
RIO BRANCO;AC;;;19;1;;A;4;A;A;16;5;4;2;5;5;
RIO BRANCO;AC;;;22;1;;F;5;A;A;19;5;3;5;5;5;
RIO BRANCO;AC;;;38;1;;B;4;A;A;15;0;5;0;5;0;
CRUZEIRO DO SUL;AC;;;30;1;;B;5;A;A;;;;;;;
RIO BRANCO;AC;;;19;1;;C;5;A;A;;;;;;;
CRUZEIRO DO SUL;AC;;;40;1;;B;3;A;A;14;5;5;5;5;5;
RIO BRANCO;AC;;;19;1;;C;4;A;A;;;;;;;
CRUZEIRO DO SUL;AC;;;21;1;;A;4;A;A;18;5;5;5;5;2;
