NO_MUNICIPIO_RESIDENCIA;UF_RESIDENCIA;NO_MUNICIPIO_ESC;UF_ESC;IDADE;ST_CONCLUSAO;TP_ESCOLA;Q003;Q004;Q031;Q034;Q040;Q042;Q043;Q044;Q045;Q046;Q076
PIMENTA BUENO;RO;;;30;1;;D;4;B;A;14;5;5;5;5;5;
PORTO VELHO;RO;;;32;1;;B;3;B;A;19;3;5;5;5;1;
JARU;RO;JARU;RO;21;2;1;C;4;A;A;19;3;2;4;3;4;
PORTO VELHO;RO;;;19;4;;I;2;A;B;18;5;0;5;5;5;
PORTO VELHO;RO;;;25;1;;E;2;A;A;17;4;5;5;5;5;
PORTO VELHO;RO;;;23;1;;E;4;A;B;18;5;5;5;5;5;
PORTO VELHO;RO;;;24;1;;C;2;A;A;13;0;5;5;5;5;
PORTO VELHO;RO;;;18;3;;D;4;A;A;14;5;0;5;5;5;
CACOAL;RO;CACOAL;RO;17;2;1;E;4;A;A;;;;;;;
JI-PARANA;RO;;;23;1;;C;6;A;A;18;5;5;5;5;5;
VILHENA;RO;;;28;1;;D;3;A;A;16;5;5;5;5;5;
ROLIM DE MOURA;RO;;;30;1;;B;2;B;C;15;0;5;5;5;5;
ROLIM DE MOURA;RO;;;30;4;;B;4;E;A;13;5;5;5;5;5;
ARIQUEMES;RO;ARIQUEMES;RO;19;2;1;E;7;A;A;;;;;;;
CACOAL;RO;;;28;1;;B;4;A;A;24;5;5;4;5;5;
PORTO VELHO;RO;;;18;1;;H;3;A;A;;;;;;;
BURITIS;RO;;;23;1;;B;4;C;A;17;5;0;5;5;5;
JI-PARANA;RO;;;25;1;;E;5;A;A;21;0;5;5;5;5;
VILHENA;RO;VILHENA;RO;18;2;1;C;4;A;A;;;;;;;
PORTO VELHO;RO;;;29;1;;B;5;B;A;21;1;3;5;5;3;
ARIQUEMES;RO;;;22;1;;B;4;B;A;16;5;0;5;5;5;
VALE DO ANARI;RO;;;35;1;;B;1;E;A;25;3;5;5;5;5;
ARIQUEMES;RO;ARIQUEMES;RO;18;2;1;B;4;A;A;15;5;0;5;5;5;
SAO MIGUEL DO GUAPORE;RO;SAO MIGUEL DO GUAPORE;RO;20;2;1;B;5;B;A;19;5;5;5;5;5;
PORTO VELHO;RO;;;40;1;;C;3;C;A;18;5;5;5;5;5;
ROLIM DE MOURA;RO;;;22;1;;B;2;A;C;17;5;5;5;5;5;
VILHENA;RO;;;26;1;;D;3;A;C;14;2;5;5;5;5;
VILHENA;RO;;;18;1;;B;3;A;A;15;5;4;5;5;5;
SAO MIGUEL DO GUAPORE;RO;;;27;1;;L;3;A;B;19;3;4;5;5;5;
CACOAL;RO;;;23;1;;B;3;A;A;21;5;5;5;5;5;
ROLIM DE MOURA;RO;;;24;4;;C;2;A;E;16;1;4;5;5;4;
PORTO VELHO;RO;;;29;1;;C;2;A;A;19;4;5;5;5;5;
PORTO VELHO;RO;;;48;1;;B;3;E;A;25;5;4;3;4;4;
PORTO VELHO;RO;;;18;1;;G;4;A;A;15;1;0;1;5;0;
JI-PARANA;RO;;;17;3;;B;3;A;A;14;5;3;5;5;5;
CACOAL;RO;;;19;1;;F;4;A;A;16;5;4;5;5;5;
NOVA MAMORE;RO;;;31;1;;B;4;E;A;21;0;5;5;5;5;
PORTO VELHO;RO;;;25;1;;B;5;A;B;19;5;0;5;5;5;
CACOAL;RO;;;29;4;;B;2;E;A;18;2;5;4;5;5;
CACOAL;RO;;;19;1;;B;4;A;A;13;5;5;5;5;5;
