NO_MUNICIPIO_RESIDENCIA;UF_RESIDENCIA;NO_MUNICIPIO_ESC;UF_ESC;IDADE;ST_CONCLUSAO;TP_ESCOLA;Q003;Q004;Q031;Q034;Q040;Q042;Q043;Q044;Q045;Q046;Q076
AXIXA DO TOCANTINS;TO;;;16;3;;B;4;A;A;15;5;0;5;5;5;
ARAGUATINS;TO;;;25;1;;B;4;A;A;20;5;0;5;5;2;
PORTO NACIONAL;TO;PORTO NACIONAL;TO;17;2;1;C;4;A;A;;;;;;;
ARAGUAINA;TO;ARAGUAINA;TO;18;2;1;B;3;A;A;;;;;;;
ALIANCA DO TOCANTINS;TO;;;16;3;;E;4;A;A;;;;;;;
PORTO NACIONAL;TO;PORTO NACIONAL;TO;21;2;1;B;5;A;A;;;;;;;
ARAGUAINA;TO;;;27;1;;D;2;A;A;18;5;2;5;5;5;
RIO DOS BOIS;TO;;;22;1;;B;3;A;A;15;5;0;5;5;5;
PARAISO DO TOCANTINS;TO;;;27;1;;C;3;A;A;17;0;5;5;5;5;
PONTE ALTA DO TOCANTINS;TO;PONTE ALTA DO TOCANTINS;TO;38;2;1;B;6;A;B;14;5;5;4;2;4;
PALMAS;TO;;;19;1;;C;6;A;A;16;4;5;5;5;5;
ARAPOEMA;TO;PAU D ARCO;TO;17;2;1;E;5;A;A;;;;;;;
BERNARDO SAYAO;TO;;;18;1;;B;4;A;A;;;;;;;
PALMAS;TO;;;16;3;;C;5;A;A;16;5;3;2;5;5;
PEDRO AFONSO;TO;;;15;3;;C;6;A;A;;;;;;;
NOVA OLINDA;TO;;;39;1;;A;6;E;A;18;5;5;0;0;0;
ARAGUAINA;TO;;;23;1;;B;3;A;A;19;5;0;5;5;5;
AURORA DO TOCANTINS;TO;NATIVIDADE;TO;18;2;1;B;5;A;A;;;;;;;
APARECIDA DO RIO NEGRO;TO;APARECIDA DO RIO NEGRO;TO;35;2;1;B;4;C;A;14;2;4;4;4;4;
COLINAS DO TOCANTINS;TO;;;46;4;;B;2;A;E;17;3;3;5;5;5;
ANANAS;TO;ANANAS;TO;16;2;1;C;5;A;A;;;;;;;
ARAGUAINA;TO;;;19;1;;B;4;A;A;13;5;0;5;5;5;
PORTO NACIONAL;TO;;;29;1;;B;6;A;A;17;1;4;4;5;5;
ARAGUAINA;TO;;;16;3;;B;4;A;A;;;;;;;
PALMAS;TO;;;23;4;;C;4;B;D;18;5;5;5;5;5;
ARRAIAS;TO;;;37;1;;C;6;A;B;24;2;5;1;4;3;
ARAGUAINA;TO;;;39;1;;C;2;A;A;17;4;5;5;5;5;
PORTO NACIONAL;TO;PORTO NACIONAL;TO;32;2;1;B;4;A;E;18;5;5;5;5;0;
CONCEICAO DO TOCANTINS;TO;CONCEICAO DO TOCANTINS;TO;19;2;1;B;5;A;A;;;;;;;
PORTO NACIONAL;TO;;;19;1;;N;4;A;A;;;;;;;
ARAGUAINA;TO;;;20;1;;D;4;A;A;18;4;0;5;5;5;
TOCANTINOPOLIS;TO;;;21;1;;E;4;A;A;19;3;0;4;4;5;
WANDERLANDIA;TO;;;20;1;;B;2;A;A;14;5;1;5;5;5;
